game_id,game_date,home_team,away_team,home_score,away_score,margin,closing_spread,home_ortg_10,home_drtg_10,home_net_rtg_10,home_pace_10,home_win_pct_10,home_rest_days,home_b2b,away_ortg_10,away_drtg_10,away_net_rtg_10,away_pace_10,away_win_pct_10,away_rest_days,away_b2b
0022300093,2023-10-28,MIN,MIA,106,90,16,,,,,100.0,,3,0,101.33333333333331,109.0,-7.666666666666686,100.0,0.3333333333333333,1,1
0022300094,2023-10-28,PHX,UTA,126,104,22,,109.66666666666669,102.66666666666669,7.0,100.0,0.6666666666666666,2,0,112.66666666666669,124.66666666666669,-12.0,100.0,0.3333333333333333,1,1
0022300095,2023-10-29,OKC,DEN,95,128,-33,,109.0,112.33333333333331,-3.3333333333333144,100.0,0.6666666666666666,2,0,118.33333333333331,102.0,16.333333333333314,100.0,1.0,2,0
0022300096,2023-10-29,HOU,GSW,95,106,-11,,101.0,116.0,-15.0,100.0,0.0,2,0,110.66666666666669,105.66666666666669,5.0,100.0,0.6666666666666666,2,0
0022300097,2023-10-29,MIL,ATL,110,127,-17,,,,,100.0,,3,0,119.0,117.33333333333331,1.6666666666666856,100.0,0.3333333333333333,2,0
0022300098,2023-10-29,PHI,POR,126,98,28,,119.0,107.66666666666669,11.333333333333314,100.0,0.6666666666666666,1,1,102.0,117.0,-15.0,100.0,0.0,2,0
0022300099,2023-10-29,LAC,SAS,123,83,40,,121.33333333333331,104.66666666666669,16.66666666666663,100.0,0.6666666666666666,2,0,109.33333333333331,123.66666666666669,-14.333333333333371,100.0,0.3333333333333333,2,0
0022300100,2023-10-29,SAC,LAL,132,127,5,,125.33333333333331,121.0,4.333333333333314,100.0,0.6666666666666666,2,0,111.33333333333331,115.33333333333331,-4.0,100.0,0.3333333333333333,3,0
0022300101,2023-10-30,CHA,BKN,121,133,-12,,112.0,118.0,-6.0,100.0,0.3333333333333333,3,0,122.0,120.0,2.0,100.0,0.3333333333333333,3,0
0022300102,2023-10-30,IND,CHI,105,112,-7,,124.33333333333331,115.0,9.333333333333314,100.0,0.6666666666666666,2,0,105.5,112.5,-7.0,100.0,0.5,2,0
